film_id,titre,titre_normalise,genre_principal,nb_seances,nb_salles,lieux_ids,image_url,notes
F0171,Maine Océan,maine-ocean,patrimoine_retro,2,1,L128,https://fr.web.img4.acsta.net/img/34/c6/34c630239df81789436fea386a8b31d4.jpg,auto (2 séances / 1 salles)
F0172,Metropolis (Meteroporisu),metropolis-meteroporisu,animation_jeune_public,2,1,L131,https://fr.web.img6.acsta.net/img/72/c6/72c61c79514ba283ac913d92d5f80d58.jpg,auto (2 séances / 1 salles)
F0173,Non-Non dans l'espace,non-non-dans-lespace,animation_jeune_public,2,2,L126|L127,https://fr.web.img3.acsta.net/pictures/24/02/08/15/26/2913149.jpg,auto (2 séances / 2 salles)
F0174,Paprika (Papurika),paprika-papurika,animation_jeune_public,2,1,L131,https://fr.web.img2.acsta.net/img/60/cf/60cf663b944df9e6514e92a04c6feb0b.jpg,auto (2 séances / 1 salles)
F0175,Parade,parade,fiction,2,2,L125|L127,https://fr.web.img2.acsta.net/img/a2/63/a263805c6f36d9eb8ab5ec2ca59acc65.jpg,auto (2 séances / 2 salles)
F0176,Raison et sentiments,raison-et-sentiments,patrimoine_retro,2,2,L126|L140,https://fr.web.img6.acsta.net/medias/nmedia/18/74/37/04/19254802.jpg,auto (2 séances / 2 salles)
F0177,Simple comme Sylvain,simple-comme-sylvain,fiction,2,1,L131,https://fr.web.img6.acsta.net/pictures/23/07/03/09/29/2280826.jpg,auto (2 séances / 1 salles)
F0178,The Dark Knight Rises,the-dark-knight-rises,fiction,2,2,L140|L144,https://fr.web.img3.acsta.net/medias/nmedia/18/83/56/27/20158098.jpg,auto (2 séances / 2 salles)
F0179,"The Dark Knight, Le Chevalier Noir",the-dark-knight-le-chevalier-noir,patrimoine_retro,2,2,L140|L144,https://fr.web.img2.acsta.net/medias/nmedia/18/63/97/89/18949761.jpg,auto (2 séances / 2 salles)
F0180,Tommy Guns,tommy-guns,fiction,2,1,L128,https://fr.web.img5.acsta.net/pictures/23/03/17/07/14/5930523.jpg,auto (2 séances / 1 salles)
F0181,Top Gun,top-gun,patrimoine_retro,2,1,L140,https://fr.web.img4.acsta.net/img/ae/ab/aeab5f328065b3a020e9719c55db195a.jpg,auto (2 séances / 1 salles)
F0182,Trafic,trafic,patrimoine_retro,2,2,L125|L127,https://fr.web.img3.acsta.net/img/5a/ef/5aefddb74a6c57920e31cf12767d9e81.jpg,auto (2 séances / 2 salles)
F0183,Un petit air de famille,un-petit-air-de-famille,animation_jeune_public,2,2,L127|L147,https://fr.web.img6.acsta.net/pictures/19/06/28/12/11/5522147.jpg,auto (2 séances / 2 salles)
F0184,2 Fast 2 Furious,2-fast-2-furious,patrimoine_retro,1,1,L138,https://fr.web.img4.acsta.net/medias/nmedia/18/35/08/06/af.jpg,auto (1 séances / 1 salles)
F0185,8 Mile,8-mile,patrimoine_retro,1,1,L142,https://fr.web.img4.acsta.net/medias/nmedia/00/02/46/93/affiche.jpg,auto (1 séances / 1 salles)
F0186,A BIGGER SPLASH,a-bigger-splash,patrimoine_retro,1,1,L126,https://films.cinemas-utopia.org/wp-content/uploads/2021/10/A-Bigger-Splash-COUV.jpg,auto (1 séances / 1 salles)
F0187,Adieu Philippine,adieu-philippine,patrimoine_retro,1,1,L128,https://fr.web.img6.acsta.net/img/0a/60/0a602883ad3bae938aee9ef18df937c5.jpg,auto (1 séances / 1 salles)
F0188,Apocalypse Now Final Cut,apocalypse-now-final-cut,patrimoine_retro,1,1,L145,https://fr.web.img6.acsta.net/img/06/b1/06b11504fe86b460ca43da6b1072bbba.jpg,auto (1 séances / 1 salles)
F0189,Audition,audition,patrimoine_retro,1,1,L142,https://fr.web.img2.acsta.net/pictures/22/03/02/10/46/2030957.jpg,auto (1 séances / 1 salles)
F0190,Avant-première Film Surprise AFCAE,avant-premiere-film-surprise-afcae,festival_avp,1,1,L148,,auto (1 séances / 1 salles)
F0191,BLACKkKLANSMAN,blackkklansman,fiction,1,1,L126,https://films.cinemas-utopia.org/wp-content/uploads/2018/07/BlacKkKlansman-COUV.jpg,auto (1 séances / 1 salles)
F0192,Backrooms,backrooms,animation_jeune_public,1,1,L125,https://films.cinemas-utopia.org/wp-content/uploads/2026/07/Backrooms-COUV.jpg,auto (1 séances / 1 salles)
F0193,Belladonna des tristesses,belladonna-des-tristesses,animation_jeune_public,1,1,L131,https://image.tmdb.org/t/p/w500/fN1HY3qaapQGAvsek7j4bMgOovs.jpg,auto (1 séances / 1 salles)
F0194,Boogie Nights,boogie-nights,patrimoine_retro,1,1,L142,https://fr.web.img5.acsta.net/img/85/ff/85fff1c18e9f7446e3a103d0b3acb590.jpg,auto (1 séances / 1 salles)
F0195,Buena Vista Social Club,buena-vista-social-club,documentaire,1,1,L147,https://fr.web.img6.acsta.net/pictures/23/09/27/16/15/3564960.jpg,auto (1 séances / 1 salles)
F0196,Carrie au bal du diable,carrie-au-bal-du-diable,patrimoine_retro,1,1,L138,https://fr.web.img2.acsta.net/img/c7/7d/c77df6d6e08f86ed59dca30552e15cc1.jpg,auto (1 séances / 1 salles)
F0197,Casier judiciaire (You and Me),casier-judiciaire-you-and-me,fiction,1,1,L131,"https://res.cloudinary.com/ct-cloudinary/image/upload/c_fill,dpr_2.0,f_auto,g_north_west,h_122,q_80,w_185/cinematheque_de_toulouse_logo",auto (1 séances / 1 salles)
F0198,Ce n'est pas l'homosexuel qui est pervers mais la société dans laquelle il vit,ce-nest-pas-lhomosexuel-qui-est-pervers-mais-la-societe-dans-laquelle-il-vit,documentaire,1,1,L128,https://image.tmdb.org/t/p/w500/fHjduhNt6O7LPPg4Wpvv9B4KO3l.jpg,auto (1 séances / 1 salles)
F0199,Ceux qui tiennent la laisse,ceux-qui-tiennent-la-laisse,documentaire,1,1,L125,https://films.cinemas-utopia.org/wp-content/uploads/2026/08/Ceux-qui-tiennent-la-laisse-COUV.jpg,auto (1 séances / 1 salles)
F0200,Chasse à l’homme,chasse-a-lhomme,patrimoine_retro,1,1,L131,https://fr.web.img6.acsta.net/pictures/21/07/08/12/21/5663199.jpg,auto (1 séances / 1 salles)
F0201,Chasse à l’homme (Man Hunt),chasse-a-lhomme-man-hunt,fiction,1,1,L131,"https://res.cloudinary.com/ct-cloudinary/image/upload/c_fill,dpr_2.0,f_auto,g_north_west,h_122,q_80,w_185/cinematheque_de_toulouse_logo",auto (1 séances / 1 salles)
F0202,Comme les oliviers,comme-les-oliviers,fiction,1,1,L126,,auto (1 séances / 1 salles)
F0203,Coup de coeur surprise 1 AFCAE Septembre 2026,coup-de-coeur-surprise-1-afcae-septembre-2026,fiction,1,1,L145,https://fr.web.img2.acsta.net/pictures/23/09/15/11/38/1205557.jpg,auto (1 séances / 1 salles)
F0204,Coup de coeur surprise 2 AFCAE Septembre 2026,coup-de-coeur-surprise-2-afcae-septembre-2026,fiction,1,1,L148,https://fr.web.img2.acsta.net/pictures/23/09/15/11/38/1205557.jpg,auto (1 séances / 1 salles)
F0205,Cowboy Bebop,cowboy-bebop,animation_jeune_public,1,1,L144,https://fr.web.img6.acsta.net/img/a3/46/a3467c668b02d6ae8d458f353ff78e31.jpg,auto (1 séances / 1 salles)
F0206,"Crazy, Stupid, Love",crazy-stupid-love,fiction,1,1,L137,https://fr.web.img4.acsta.net/medias/nmedia/18/85/84/05/19808153.jpg,auto (1 séances / 1 salles)
